,제목,평점,장르,줄거리
57,바람의 검심 : 교토 대화재편,8,액션,"세상을 뒤흔들 반란을 계획하고 있는 절대악 시시오와 그의 부하 십본도를 저지하기 위해 교토까지 온 히무라 켄신 (사토 타케루). 한때 켄신의 자리를 이어받아 유신지사로 활동했던 시시오가 정부에 배신당하고 반란을 일으킨 것이다. 시시오 일당에 맞서던 켄신은 십본도의 세타 소지로 (카미키 류노스케)에 의해 역날검이 반토막이 나게 되고, 나라와 자신의 곁을 지키는 사람들이 절체절명의 위험에 빠지고 심지어 유일한 무기였던 역날검마저 쓸 수 없게 되면서 최대의 궁지에 몰리게 된다. 불살을 맹세했던 켄신은 부러진 역날검을 들고 최강의 절대악인 시시오와 맞서 일생일대의 마지막 결전을 앞두게 되는데.."
58,애프터,7,드라마,"첫 끌림대학 입학 후 첫 파티에 초대 받게 된 신입생 ‘테사’는진실게임을 하던 중 키스 벌칙에 걸리고 만다.상대는 학교에서 유명한 반항아 ‘하딘’.키스를 앞둔 0.1초 전, 모두가 주목하는 그 순간‘테사’는 ‘하딘’의 입술을 거절하고 만다.첫 사랑강렬했던 첫 만남 이후, 마치 새로운 세상을 발견한 듯한번도 경험한 적 없던 감정에 눈을 뜨게 된 두 사람.‘하딘’은 자신의 비밀 장소로 ‘테사’를 초대하고이제 두 사람은 서로를 모르기 전으로 절대 되돌아 갈 수 없음을 알게 되는데…첫 경험 그리고 "
59,겨울왕국 2,8,액션,"어느 날 부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다.트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다.자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…두려움을 깨고 새로운 운명을 만나다!"
60,캡틴 마블,6,액션,"1995년, 공군 파일럿 시절의 기억을 잃고크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다.쉴드 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은지구로 향하는 더 큰 위협을 감지하고힘을 합쳐 전쟁을 끝내야 하는데…"
61,이프 온리,9,코미디,"눈앞에서 사랑하는 연인을 잃은 남자는 다음 날 아침, 자신의 옆에서 자고 있는 연인을 보고 소스라치게 놀란다. 기쁨도 잠시, 정해진 운명은 바꿀 수 없단 것을 깨달은 그는 더 늦기 전에 자신의 진정한 사랑을 전하기로 마음먹는데…네가 아니었다면 난 영영 사랑을 몰랐을 거야사랑하는 법을 알게 해줘서 고마워, 사랑받는 법도."
62,내가 죽기를 바라는 자들,7,액션,"화재 현장에서 세 명의 아이를 구하지 못한 죄책감과 트라우마로 감시탑에 배정된공수소방대원 한나는 거대 범죄의 증거를 가지고 도주 중인 소년을 만난다.한편 소년을 쫓던 두 명의 킬러는 사람들의 눈을 돌리기 위해 불을 내고 삽시간에 번져가는데…죽이려는 자와 지키려는 자, 거대한 불길 속에서 치닫는 생사를 건 대결.그날 밤, 삶과 죽음이 타오르는 불길 속에 모두가 있었다!"
63,그린 북,9,드라마,"1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함 그 자체인천재 피아니스트 돈 셜리(마허샬라 알리) 박사의 운전기사 면접을 보게 된다.백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고,투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다.거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사.생각, 행동, 말투, 취향까지 달라도 너무 다른 두 사람은그들을 위한 여행안내서 ‘그린북’에 의존해 특별한 남부 투어를 시작하는데…"
64,베놈,7,액션,"진실을 위해서라면 몸을 사리지 않는 정의로운 열혈 기자 '에디 브록'거대 기업 라이프 파운데이션의 뒤를 쫓던 그는이들의 사무실에 잠입했다가 실험실에서외계 생물체 '심비오트'의 기습 공격을 받게 된다.'심비오트'와 공생하게 된 '에디 브록'은마침내 한층 강력한 '베놈'으로 거듭나고,악한 존재만을 상대하려는 '에디 브록'의 의지와 달리'베놈'은 난폭한 힘을 주체하지 못하는데…!지배할 것인가, 지배당할 것인가"
65,모아나,9,액션,"모든 것이 완벽했던 모투누이 섬이 저주에 걸리자바다가 선택한 소녀 모아나는 섬을 구하기 위해 머나먼 항해를 떠난다. 저주를 풀기 위해서는 오직 신이 선택한 전설의 영웅 마우이의 힘이 필요한 상황!모아나는 마우이를 우여곡절 끝 설득해, 운명적 모험을 함께 떠나는데…바다가 부르면 운명적 모험이 시작된다!"
67,인사이드 아웃,9,코미디,"모든 사람의 머릿속에 존재하는 감정 컨트롤 본부그곳에서 불철주야 열심히 일하는 기쁨, 슬픔, 버럭, 까칠, 소심 다섯 감정들.이사 후 새로운 환경에 적응해야 하는 ‘라일리’를 위해그 어느 때 보다 바쁘게 감정의 신호를 보내지만우연한 실수로 ‘기쁨’과 ‘슬픔’이 본부를 이탈하게 되자'라일리’의 마음 속에 큰 변화가 찾아온다.'라일리'가 예전의 모습을 되찾기 위해서는 ‘기쁨’과 ‘슬픔’이 본부로 돌아가야만 한다!그러나 엄청난 기억들이 저장되어 있는 머릿속 세계에서 본부까지 가는 길은 험난하기만 한데…과연,  ‘라일리’는 다시 행복해질 수 있을까?지금 당신의 머릿속에서 벌어지는 놀라운 일!하루에도 몇번씩 변하는 감정의 비밀이 밝혀진다!"
68,시카고,8,액션,"화려한 무대 위 스타가 되길 꿈꾸는 ‘록시’는 우발적인 살인으로 교도소에 수감된다. 그곳에서 만난 매혹적인 시카고 최고의 디바 ‘벨마’는 승률 100%의 변호사 ‘빌리’와 무죄 석방을 위한 계획을 짜고 있다. ‘빌리’는 법정을 하나의 무대로 탈바꿈시키는 쇼 비즈니스의 대가로, 자극적인 사건에 불나방처럼 모여드는 언론의 속성을 교묘하게 이용한다. ‘록시’ 또한 ‘빌리’의 흥미를 끌어 자신의 변호를 맡기게 되고,평범한 가수 지망생에 불과했던 ‘록시’는 신문의 1면을 장식하며 일약 스타덤에 오르게 되는데…“그건 살인이었지만, 범죄는 아니야”그들의 쇼는 이미 시작됐다!"
69,원더,9,드라마,"누구보다 위트 있고 호기심 많은 매력 부자 ‘어기'(제이콥 트렘블레이).하지만 남들과 다른 외모로 태어난 ‘어기'는 모두가 좋아하는 크리스마스 대신 얼굴을 감출 수 있는 할로윈을 더 좋아한다.10살이 된 아들에게 더 큰 세상을 보여주고 싶었던 엄마 ‘이사벨’(줄리아 로버츠)과 아빠 ‘네이트’(오웬 윌슨)는 ‘어기'를 학교에 보낼 준비를 하고, 동생에게 모든 것을 양보해왔지만 누구보다 그를 사랑하는 누나 ‘비아'도 ‘어기'의 첫걸음을 응원해준다.그렇게 가족이 세상의 전부였던 ‘어기'는 처음으로 헬멧을 벗고 낯선 세상에 용감하게 첫발을 내딛지만 첫날부터 ‘남다른 외모'로 화제의 주인공이 되고, 사람들의 시선에 큰 상처를 받는다.그러나 ‘어기'는 27번의 성형(?)수술을 견뎌낸 긍정적인 성격으로 다시 한번 용기를 내고, 주변 사람들도 하나둘 변하기 시작하는데..."
70,리틀 포레스트,8,드라마,"시험, 연애, 취업… 뭐하나 뜻대로 되지 않는 일상을 잠시 멈추고고향으로 돌아온 혜원은 오랜 친구인 재하와 은숙을 만난다 남들과는 다른, 자신만의 삶을 살기 위해 고향으로 돌아온 ‘재하’, 평범한 일상에서의 일탈을 꿈꾸는 ‘은숙’과 함께직접 키운 농작물로 한끼 한끼를 만들어 먹으며겨울에서 봄, 그리고 여름, 가을을 보내고 다시 겨울을 맞이하게 된 혜원. 그렇게 특별한 사계절을 보내며 고향으로 돌아온 진짜 이유를 깨닫게 된 혜원은 새로운 봄을 맞이하기 위한 첫 발을 내딛는데…"
71,1987,9,드라마,"1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다.증거인멸을 위해 박처장(김윤석)의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사(하정우)는 이를 거부하고 부검을 밀어붙인다.단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자(이희준)는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장(박희순)등 형사 둘만 구속시키며 사건을 축소하려 한다.한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용(유해진)은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희(김태리)에게 위험한 부탁을 하게 되는데…한 사람이 죽고, 모든 것이 변화하기 시작했다.모두가 뜨거웠던 1987년의 이야기."
73,태극기 휘날리며,9,액션,"가족의 생계를 책임지기 위해 열심히 살아가는 ‘진태’(장동건)는 약혼녀 ‘영신’(이은주)과의 결혼과, 세상에서 가장 소중하게 생각하는 동생 ‘진석’(원빈)의 대학진학을 위해 어려운 상황에서도 씩씩하게 생활을 해나간다.1950년 6월의 어느 날, 한반도에 전쟁이 일어났다는 호회가 배포되고, 두 형제는 평온한 일상에서 갑작스레 전쟁터로 내몰린다. 훈련받을 시간조차 없이 국군 최후의 보루인 낙동강 방어선으로 실전 투입된 ‘진태’와 ‘진석’. 동생과 같은 소대에 배치된 ‘진태’는 아직 학생인 동생의 징집해제를 위해 대대장을 만나게 되고, 동생의 제대를 위해 자신이 해야 할 최선의 것이 무엇인지를 느끼게 된다.그리고 동생의 생존을 위해 총을 들며 영웅이 되기를 자처하게 되고,끝내 생각지도 못한 운명의 덫이 두 형제를 기다리고 있는데…"
74,소년시절의 너,9,액션,"시험만 잘 치면 멋진 인생을 살 수 있다고 가르치는 세상에서기댈 곳 없이 세상에 내몰린 우등생 소녀 ‘첸니엔’과 양아치 소년 ‘베이’.비슷한 상처와 외로움에 끌려 서로에게 의지하게 된 두 사람은수능을 하루 앞둔 어느 날, ‘첸니엔’의 삶을 뒤바꿔버릴 거대한 사건에 휘말리게 된다.‘첸니엔’만은 평범하고 행복하게 살길 바라는 ‘베이’는그녀의 그림자가 되어 모든 것을 해결하기로 마음 먹는데…“고마워. 내 세상의 전부, 소년시절의 너.”"
76,하울의 움직이는 성,9,애니메이션,"어느 날, 영문도 모른 채 마녀의 저주로 인해 할머니가 된 소녀 '소피'절망 속에서 길을 걷다가 거대한 마법의 성에 들어가게 된다. 그곳에서 자신과 마법사 하울의 계약을 깨주면 저주를 풀어주겠다는 불꽃악마 캘시퍼의 제안을 받고 청소부가 되어 ‘움직이는 성’에 머물게 되는데…"
77,101마리의 달마시안 개,9,액션,악녀 크루엘라 드빌의 하수인에 달마시안 강아지들이 납치되고 강아지들의 부모인 퐁고와 미시는 강아지들이 악녀에게 희생되기 전에 어떻게든 찾아야만 하는데…. 1961년 월트 디즈니가 제작한 <101마리 달마시안>은 1956년 도디 스미스의 소설을 원작으로 한 애니메이션이다. [제22회 부산국제영화제]
78,나의 히어로 아카데미아 더 무비: 두 명의 히어로,9,애니메이션,"모두가 ‘개성’이라는 초능력을 가진 세계, 여기에 ‘무개성’의 소년이 있었다!하지만 소년은 ‘개성’ 대신 히어로가 될 조건을 가지고 있었는데…NO.1 히어로 ‘올마이트’의 뒤를 잇는 새로운 영웅 탄생개성이 없어도, 넌 세상을 빛낼 히어로가 될 수 있다!"
