,제목,평점,장르,줄거리
56,아델라인 : 멈춰진 시간,8,드라마,"우연한 사고 이후 영원히 늙지 않게 된 아델라인은 올해로 107세가 됐지만, 여전히 29세의 미모를 간직하고 있다.자신의 정체를 수상하게 여기는 사람들을 피해 10년마다 신분과 거주지를 바꾸며 외롭게 살아가던 아델라인은 새해 전야 파티에서 만난 엘리스와 사랑에 빠지게 된다.자신의 삶을 저주라고 생각하는 아델라인은 그에게 자신의 비밀을 고백하려 하는데…시간이 멈춘 아델라인의 사랑은 다시 시작 될 수 있을까?"
57,메이즈 러너: 스코치 트라이얼,8,액션,"미로를 탈출한 토마스와 러너들은 자신들이 겪었던 위험한 실험에 미스터리한 조직 ‘위키드’가 관여된 것을 알게 되고, 그들의 정체를 밝혀 왜 이런 일들이 일어나고 있는지를 알아내기 위해 또 다시 탈출을 시도한다.한 순간도 예측할 수 없는 위험들이 도사리고 있는 ‘스코치’에 도착한 러너들은 ‘위키드’에 대항하기 위해 결성된 저항 단체를 만나 그들과 함께 거대 조직에 맞설 준비를 한다.하지만 ‘위키드’에 접근할수록 위험천만한 일들이 벌어지고, 조직이 비밀리에 준비 중인 또 다른 충격적인 계획을 알게 되는데... 러너들은 조직의 비밀을 밝히고, 이들에게서 벗어날 수 있을 것인가?"
58,인사이드 아웃,9,코미디,"모든 사람의 머릿속에 존재하는 감정 컨트롤 본부그곳에서 불철주야 열심히 일하는 기쁨, 슬픔, 버럭, 까칠, 소심 다섯 감정들.이사 후 새로운 환경에 적응해야 하는 ‘라일리’를 위해그 어느 때 보다 바쁘게 감정의 신호를 보내지만우연한 실수로 ‘기쁨’과 ‘슬픔’이 본부를 이탈하게 되자'라일리’의 마음 속에 큰 변화가 찾아온다.'라일리'가 예전의 모습을 되찾기 위해서는 ‘기쁨’과 ‘슬픔’이 본부로 돌아가야만 한다!그러나 엄청난 기억들이 저장되어 있는 머릿속 세계에서 본부까지 가는 길은 험난하기만 한데…과연,  ‘라일리’는 다시 행복해질 수 있을까?지금 당신의 머릿속에서 벌어지는 놀라운 일!하루에도 몇번씩 변하는 감정의 비밀이 밝혀진다!"
60,타임 패러독스,8,공포/스릴러,"뉴욕을 초토화시킨 폭파 사건으로 대규모 사상자가 발생한다. 용의자 피즐 폭파범을 잡기 위해 범죄 예방 본부는 시간여행을 할 수 있는 템포럴 요원을 투입한다. 단서1. 템포럴 요원은 피즐 폭파범을 막다가 얼굴을 다쳐 이식수술을 한다.단서2. 템포럴 요원은 바텐더로 위장 취업해 존을 만난다.단서3. 존은, 고아원에서 자라나 우주비행사를 꿈꾸다가 의문의 남자를 만나 아이를 낳고 인생을 망친 소녀 제인에 대한 이야기를 한다.단서4. 존은 제인과 깊은 관련이 있다.단서5. 템포럴 요원은 존을 제인이 의문의 남자를 만나기 바로 직전으로 데리고 간다.단서6. 템포럴 요원은 존과 깊은 관련이 있다.이제부터의 이야기를 당신은 상상도 못할 것이다!"
61,비긴 어게인,9,코미디,"싱어송라이터인 ‘그레타’(키이라 나이틀리)는 남자친구 ‘데이브’(애덤 리바인)가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다. 그러나 행복도 잠시, 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리 스타가 된 데이브의 마음은 어느새 변해버린다. 스타 음반프로듀서였지만 이제는 해고된 ‘댄’(마크 러팔로)은 미치기 일보직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다. 거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데…"
62,프란시스 하,8,코미디,"브루클린의 작은 아파트에서 둘도 없는 친구 소피와 살고 있는 27살 뉴요커 프란시스.무용수로 성공해 뉴욕을 접수하겠다는 거창한 꿈을 꾸지만 현실은 몇 년째 평범한 연습생 신세일 뿐이다.사소한 말다툼 끝에 애인과 헤어지고 믿었던 소피마저 독립을 선언하자 그녀의 일상은 꼬이기 시작한다.직업도, 사랑도, 우정도 무엇 하나 쉽지 않은 그녀는 과연 당당하게 홀로서기에 성공할 수 있을까?가장 보통의 뉴욕에서 만나는 우리 모두의 이야기가 시작된다!"
63,변호인,9,드라마,"1980년대 초 부산. 빽 없고, 돈 없고, 가방끈도 짧은 세무 변호사 송우석(송강호). 부동산 등기부터 세금 자문까지 남들이 뭐라든 탁월한 사업수완으로 승승장구하며  부산에서 제일 잘나가고 돈 잘 버는 변호사로 이름을 날린다.  대기업의 스카우트 제의까지 받으며 전국구 변호사 데뷔를 코 앞에 둔 송변. 하지만 우연히 7년 전 밥값 신세를 지며 정을 쌓은 국밥집 아들 진우(임시완)가  뜻하지 않은 사건에 휘말려 재판을 앞두고 있다는 소식을 듣는다. 국밥집 아줌마 순애(김영애)의 간절한 부탁을 외면할 수 없어  구치소 면회만이라도 도와주겠다고 나선 송변. 하지만 그곳에서 마주한 진우의 믿지 못할 모습에 충격을 받은 송변은 모두가 회피하기 바빴던 사건의 변호를 맡기로 결심하는데... “제가 하께요, 변호인. 하겠습니더”"
64,그래비티,8,드라마,허블 우주망원경을 수리하기 위해 우주를 탐사하던 라이언 스톤 박사는폭파된 인공위성의 잔해와 부딪히면서 소리도 산소도 없는 우주 한 가운데에 홀로 남겨지는데…
65,나우 유 씨 미 : 마술사기단,8,액션,1년 전만 해도 무명이었던 길거리 마술사 '포 호스맨'은단 3초만에 파리 은행의 비자금을 통째로 털어 관객들에게 뿌리는 매직쇼를 성공시켜 전세계의 이목을 끈다.하지만 이것은 '시선 끌기'였을 뿐! 포 호스맨의 범행은 점점 더 거대해지고 치밀해지는데...전세계를 무대로 한 통쾌하고 짜릿한 완전범죄 매직쇼가 시작된다!
66,고령화 가족,8,드라마,"인/생/포/기/ 40세 ‘인모’결/혼/환/승/전/문/ 35세 ‘미연’총/체/적/난/국/ 44세 ‘한모’개/념/상/실/  15세 조카 ‘민경’자/식/농/사/대/실/패/ 69세 ‘엄마’ 평화롭던 엄마 집에 나이 값 못하는 가족이 다시 모여들기 시작한다. 엄마 집에 빈대 붙어 사는 철없는 백수 첫째 ‘한모’, 흥행참패 영화감독 둘째 ‘인모’, 결혼만 세 번째인 뻔뻔한 로맨티스트 셋째 ‘미연’. 서로가 껄끄럽기만 한 삼 남매와 미연을 쏙 빼 닮아 되바라진 성격의 개념상실 여중생 ‘민경’까지, 모이기만 하면 사건 사고가 끊이지 않는 이들의 속사정이 공개된다!평균 연령 47세, 극단적 프로필,나이 값 못하는 {고령화가족}이 온다!"
67,언터처블: 1%의 우정,9,코미디,"2주간의 내기로 시작된 상상초월 특별한 동거 스토리하루 24시간 내내 돌봐주는 손길이 없으면 아무것도 할 수 없는 전신불구의 상위 1% 백만장자 필립(프랑수아 클루제).어느 날 우연히, 가진 것이라곤 건강한 신체가 전부인 하위 1% 무일푼 백수 드리스(오마 사이)를 만나게 된 그는거침없이 자유로운 성격의 드리스에게 호기심을 느껴 특별한 내기를 제안한다.바로 2주 동안 필립의 손발이 되어 한시도 떨어지지 않고 자신을 간호하며 버틸 수 있는지 시험해보겠다는 것.참을성이라곤 눈꼽 만큼도 찾아 볼 수 없던 드리스는 오기가 발동해 엉겁결에 내기를 수락한다.이렇게, 전혀 어울릴 것 같지 않던 극과 극,두 남자의 예측불허 기막힌 동거가 시작 되는데…"
68,진짜로 일어날지도 몰라 기적,8,드라마,"나는 엄마랑 할아버지랑 할머니랑 삽니다. 동생 류랑 아빠는 저기 멀리서 따로 삽니다. 엄마랑 아빠랑 맨날 싸우더니, 이런 꼴이 될 줄 알았습니다. 나의 소원은 우리 가족들이 다시 함께 사는 것입니다. 그러려면 저기 저 위에 있는 화산이 폭발해서 아빠랑 류가 있는 곳으로 이사를 가면 됩니다. 형은 화산이 꼭 폭발하게 해달라고 매일매일 기도하는데 철부지 내 동생은 가면라이더가 되고 싶다고나 하고, 정말 어린이 같은 소원입니다. 그런데, 친구들이 하는 말이 새로 생기는 고속열차가 반대편에서 서로 달려오다가 스쳐 지나가는 순간에 ‘기적’이 일어난다는 것입니다! 아싸~ 그럼 거길 가서 소원을 빌면 되겠네! 그래서 좋아하는 선생님이랑 결혼하고 싶은 친구랑, 야구선수가 되고 싶다는 친구랑 거길 가려고요. 동생도 오라고 해서 나랑 같은 소원을 빌라고 해야겠어요. 난, 우리 가족이 꼭 같이 살았으면 좋겠거든요…"
69,세상에서 가장 아름다운 이별,9,드라마,"“피곤해” 병원 일에만 신경 쓰는 가장(김갑수)“밥 줘, 밥” 어린애가 되어버린 할머니(김지영)“알아서 할게요” 언제나 바쁜 큰 딸(박하선)“됐어요” 여자친구밖에 모르는 삼수생 아들(류덕환)“돈 좀 줘” 툭 하면 사고치는 백수 외삼촌 부부(유준상&서영희)그리고.. 꿈 많고 할 일도 많은 엄마(배종옥)영원히 반복될 것만 같았던 일상에 찾아온 이별의 순간. 그날 이후…우리는 진짜 ‘가족’이 되었습니다."
70,아이언맨 2,7,액션,"세계 최강의 무기업체를 이끄는 CEO이자, 타고난 매력으로 셀러브리티 못지않은 화려한 삶을 살아가던 토니 스타크. 기자회견을 통해 자신이 아이언맨이라고 정체를 밝힌 이후, 정부로부터 아이언맨 수트를 국가에 귀속시키라는 압박을 받지만 이를 거부한 채 더욱 화려하고 주목 받는 나날을 보낸다. 스타크 인더스트리의 운영권까지 수석 비서였던 ‘페퍼포츠’에게 일임하고 슈퍼히어로로서의 인기를 만끽하며 지내던 토니 스타크. 하지만 그 시각, 아이언맨의 수트 기술을 ‘스타크’ 가문에 빼앗긴 후 쓸쓸히 돌아가신 아버지의 복수를 다짐해 온 ‘위플래시’는 수트의 원천 기술 개발에 성공, 치명적인 무기를 들고 직접 토니 스타크를 찾아 나선다. F-1 모나코 그랑프리에서 직접 경주용 차에 올라선 토니 스타크 앞에 나타난 위플래시! 무차별적으로 전기 채찍을 휘두르는 그의 공격에 무방비 상태였던 토니 스타크는 생명의 위협을 느끼지만, 새롭게 개발한 휴대용 수트 Mark5를 이용하여 간신히 위험에서 벗어난다. 그리고 자신과 자신의 아버지에 대해 강한 적대감을 드러내는 그에게서 심상치 않은 위기를 직감한다. 한편, 이 과정을 모두 지켜본 토니 스타크의 라이벌이자 무기업자인 ‘저스틴 해머’는 아이언맨에 필적할 만한 위플래시의 위력을 간파하고 그를 몰래 감옥에서 탈출시켜 자신과 손 잡을 것을 제안한다. 위플래시를 만난 이후 좀처럼 충격에서 헤어나오지 못하던 토니 스타크는 감옥에 갇혀 있는 줄 알았던 위플래시가 저스틴 해머와 함께 있음을 알게 되고, 역대 수트들을 뛰어넘는 최강의 위력을 지닌 Mark6 개발에 박차를 가한다. 그 사이, 저스틴 해머는 새로운 군무기 발표 쇼케이스를 개최하고, 그 곳에서 위플래시는 모두를 놀라게 할 작전 실행에 나서는데...! 줄거리 2. 자신이 아이언맨이라고 정체를 밝힌 뒤 할리우드 스타 못지 않은 인기를 누리던 토니 스타크. 스타크 인더스트리의 운영권을 수석 비서였던 페퍼포츠에게 일임하고 즐거운 나날을 보내던 그에게 생애 최고의 위기가 찾아온다. ‘스타크’ 가문에 대한 적대감으로 가득 찬 ‘위플래시’가 아이언맨 수트의 원천 기술인 아크 원자로 개발에 성공한 것. F-1 그랑프리에 출전하여 무방비 상태에 있던 토니 스타크에게 위협적인 공격을 가하는 위플래쉬. 이에 토니 스타크는 새로 개발한 업그레이드 수트를 이용, 겨우 위기를 모면한다. 하지만 이 사건을 계기로 위플래시는 토니 스타크의 라이벌 ‘저스틴 해머’와 손을 잡고 아이언맨을 공격하기 시작하고, 이에 토니 스타크는 오랜 동료 제임스 로드를 위한 새로운 하이테크 수트를 제작, ‘워 머신’으로 거듭난 그와 함께 강력해진 적들과의 본격적 대결에 나서는데…!"
71,500일의 썸머,8,코미디,운명적 사랑을 믿는 남자 ‘톰’모든 것이 특별한 여자 ‘썸머’에 완전히 빠졌다.사랑은 환상일 뿐이라고 생각하는 여자 ‘썸머’친구인 듯 연인 같은 ‘톰’과의 부담 없는 썸이 즐겁다.“저기… 우리는 무슨 관계야?”설렘으로 가득한 시간도 잠시두 사람에게도 피할 수 없는 선택의 순간이 찾아오는데…“우리 모두의 단짠단짠 연애담!”설레는 1일부터 씁쓸한 500일까지서로 다른 남녀의 극사실주의 하트시그널!
72,이태원 살인사건,5,액션,"국적 불명의 영어 간판과 사람들이 뒤섞여 있는 이태원의 어느 햄버거 가게에서 끔찍한 살인 사건이 일어난다. H대 휴학생 조중필이 화장실에서 가슴과 목 등 9군데를 칼에 찔려 참혹히 살해당한 것. 현장에 있던 혼혈인 피어슨과 재미교포 알렉스가 사건의 목격자이자 유력한 용의자로 지목된다. 사건을 담당하게 된 박 검사는 용의자 심문을 하던 중, 미육군범죄수사대가 1차 지목한 범인인 피어슨이 오히려 신빙성 있는 증거를 진술하자 갈등한다. 결국 박 검사가 정황에 따라 알렉스를 범인으로 기소하려 하자, 알렉스의 아버지는 검사 출신 변호사를 고용해 아들의 무죄를 입증하려고 한다."
73,걸어도 걸어도,8,드라마,"햇볕이 따갑던 어느 여름 날, 바다에 놀러 간 준페이는 물에 빠진 어린 소년 요시오를 구하기 위해 바다에 뛰어 든다. 그로부터 10여 년 후. 각자 가정을 꾸린 준페이의 동생들 료타와 지나미는 매년 여름 가족들과 함께 고향집으로 향한다. 다시 올 수 없는 단 한 사람, 준페이를 기리기 위해… 그리고 그 자리에 초대받는 또 한 사람, 요시오 역시 매년 준페이의 집을 방문한다. 그 해 여름 역시 준페이의 기일을 맞아 모인 가족들로 왁자지껄한 하루가 흘러갈 무렵… 요시오, 그만 와도 되지 않아요? 차남 료타는 어머니에게 이제 그만 요시오를 놓아줘도 되지 않냐는 말을 넌지시 건네고, 엄마는 그런 료타의 질문에 지난 10여 년간 숨겨왔던 진심을 쏟아내는데…"
74,로나의 침묵,8,드라마,"사랑이란 감정이 생략된 로나의 결혼... 사랑하는 남자친구가 있지만 법적으로 클로디가 남편인 로나. 로나는 단지 벨기에 시민권을 얻기 위해 클로디와 위장결혼을 했다. 처음부터 사랑이란 감정은 존재하지 않았던 그들의 결혼... 클로디와 이혼을 준비하는 로나. 러시아인과 결혼해 그에게 시민권을 얻게 해주는 대가로 거액의 돈을 받기로 했기 때문이다. 그러나 남자친구와 식당을 운영할 꿈을 꾸며 행복해하는 로나에게 언제부턴가 클로디의 모습이 하나씩 눈에 들어오기 시작한다. 처음에는 클로디에게 냉정하고 삭막했던 로나지만, 어느 순간 그에게 알 수 없는 묘한 감정을 느끼게 되는데…."
75,분노의 질주: 더 오리지널,8,액션,"범법자의 신분으로 경찰에게 쫓기는 도미닉(빈 디젤)은 사랑하는 여인 레티(미셸 로드리게즈)의 갑작스런 죽음을 접하고 복수를 위해 LA로 돌아온다. 한편 LA 최대 갱단의 두목을 쫓고 있던 브라이언(폴 워커)은 범죄의 중심에 자신의 친구이기도 했던 레티의 죽음이 연관되어 있음을 직감한다. 위장 잠입한 갱단 소굴에서 서로 만나게 된 도미닉과 브라이언. 서로 쫓고 쫓기는 경찰과 도망자의 관계이지만, 서로의 우정과 믿음에 이끌린 두 사람은, 여인과 친구의 복수를 위해 잠시 손을 잡기로 한다. 하지만, 적의 실체에 점점 다가갈수록 목숨을 건 위험한 액션은 점점 극으로 치닫는데…"
76,말할 수 없는 비밀,9,드라마,"나는 너를 사랑해!너도 나를 사랑하니?예술학교로 전학 온 상륜(주걸륜)은 아버지의 영향을 받아 피아노에 천부적인 소질을 보인다. 학교를 둘러보던 중, 신비스러운 피아노 연주가 흘러나오는 옛 음악실을 발견하게 되고, 그곳에서 샤오위(계륜미)를 만난다. 그들은 아름다운 피아노 선율처럼 즐거운 시간을 보내고, 둘 사이에는 애틋한 마음이 싹튼다. 그러나 상륜이 샤오위를 더 알고 싶어할 때마다 그녀는 비밀이라고 일관하며 의미심장한 미소만 짓는다. 그러던 어느 날, 샤오위는 상륜이 같은 반 여학생 칭요와 뽀뽀하는 모습을 보게 되고, 그의 곁에서 사라지는데…"
77,라따뚜이,9,액션,"절대미각, 빠른 손놀림, 끓어 넘치는 열정의 소유자 ‘레미’. 프랑스 최고의 요리사를 꿈꾸는 그에게 단 한가지 약점이 있었으니, 바로 주방 퇴치대상 1호인 ‘생쥐’라는 것! 그러던 어느 날, 하수구에서 길을 잃은 레미는 운명처럼 파리의 별 다섯개짜리 최고급 레스토랑에 떨어진다. 그러나 생쥐의 신분으로 주방이란 그저 그림의 떡. 보글거리는 수프, 둑닥둑닥 도마소리, 향긋한 허브 내음에 식욕이 아닌 ‘요리욕’이 북받친 레미의 작은 심장은 콩닥콩닥 뛰기 시작하는데! 쥐면 쥐답게 쓰레기나 먹고 살라는 가족들의 핀잔에도 굴하지 않고 끝내 주방으로 들어가는 레미. 깜깜한 어둠 속에서 요리에 열중하다 재능 없는 견습생 ‘링귀니’에게 ‘딱’ 걸리고 만다. 하지만 해고위기에 처해있던 링귀니는 레미의 재능을 한눈에 알아보고 의기투합을 제안하는데. 과연 궁지에 몰린 둘은 환상적인 요리 실력을 발휘할 수 있을 것인가? 레니와 링귀니의 좌충우돌 공생공사 프로젝트가 아름다운 파리를 배경으로 이제 곧 펼쳐진다!"
78,해리 포터와 불사조 기사단,7,액션,"길고도 지루한 여름 날 호그와트 마법학교 다섯 번째 해를 기다리고 있는 해리포터(다니엘 래드클리프). 이모부 더즐리 식구들과 참고 사는 것도 지겨운데다 친구 론(루퍼트 그린트)과 헤르미온느(엠마 왓슨)에게서는 편지 한 통 오지 않는다. 그러던 중 예상치 못했던 편지 한 장이 도착한다. 그것은 해리가 학교 밖인 리틀 위닝에서 얄미운 사촌 두들리, 즉 머글 앞에서 디멘터들의 공격을 막는 마법을 사용했기 때문에 호그와트 마법학교에서 퇴학 당하게 되었다는 소식이었다. 앞이 캄캄한 해리. 갑자기 어둠의 마법사 오러들이 나타나 해리를 불사조 기사단의 비밀 장소로 데리고 간다.시리우스(게리 올드만)를 위시한 불사조 기사단을 만난 해리는 과거, 부모님들의 활약상을 알게 되어 힘을 얻고, 자신을 퇴학시키기 위해 마법부 장관 코넬리우스 퍼지(로버트 하디)가 법정에 세우지만 덤블도어 교장(마이클 갬볼 경)의 중재 덕분에 무죄 판결까지 받는다. 하지만 예언자 일보는 볼드모트(랄프 파인즈)가 돌아왔다는 해리의 말이 새빨간 거짓말이라며 비난하고 학생들 역시 해리를 의심하며 따돌린다. 게다가 자신이 가장 힘들어 할 때 도움을 주던 덤블도어 교장까지도 이유 없이 해리를 멀리하고…. 한편, 덤블도어도 못마땅한데 해리의 퇴학마저 무산이 되자 마법부 장관은 ‘어둠의 마법방어술’ 과목에 돌로레스 엄브릿지(이멜다 스털톤)를 교수로 임명한다. 하지만 엄브릿지의 마법방어술 수업은 학생들이 어둠의 힘으로부터 스스로를 지켜내기는커녕 오히려 곤경에 빠지게 한다. 이에 헤르미온느와 론은 해리의 능력을 믿고 자칭 ‘덤블도어의 군대’라고 명명한 비밀단체를 조직한다. 해리는 어둠의 마법에 맞서 스스로를 지켜낼 수 있는 방법을 학생들에게 가르쳐주며 앞으로 닥칠 격전에 대비시킨다. 그러나 밤마다 불길한 사건을 예견하는 악몽에 시달리는 해리. 이제 볼드모트와의 대결이 머지 않았음을 느끼게 된다. 시리우스가 공격 당하는 악몽을 꾼 해리는 덤블도어 군대와 함께 마법부 미스터리 부서 예언의 방으로 향한다. 그리고 이어 나타난 죽음을 먹는 자들…. 빛의 마법과 어둠의 마법간의 불꽃 튀는 대결 해리포터와 불사조 기사단, 호그와트의 운명이 그들에게 달렸다!"
79,시간을 달리는 소녀,9,드라마,"저 마코토에게는 남들에게 말 못할 비밀이 하나 있어요. 타임리프라고 하는 능력이죠.어느 날 우연히 그 능력을 가지게 됐어요.카즈야 이모 말에 따르면 내 또래 여학생들에게 자주 일어날 수 있는 일이라더군요.아무튼 그 능력 덕택에 학교 성적도 좋아지고,지각도 안하고 잦은 실수도 훨씬 줄어들었어요.세상 만사가 다 내 손안에 있는 느낌이었죠.친한 친구인 고스케와 치아키도 저의 변화가 싫지 않은 것 같아요. 매일 셋이서 야구놀이하며 즐거운 나날을 보낼 수 있을 것 같았죠.그런데 느닷없이 치아키가 저에게 고백을 하는 거에요.""마코토, 나랑 사귀지 않을래?"" 전혀 남자로 보이지 않던 녀석인데 저는 깜짝 놀라고 말았어요. 어떻게든 그 고백을 없애기 위해 다시 과거로 돌아가 결국은 그 고백을 듣지 않게 되었어요. 하지만 과거로 돌아가면 돌아갈수록, 일이 점점 꼬여만 가요. 친구인 유리와 치아키가 연인 사이로 발전하는걸 지켜보려니 마음만 씁쓸하고, 고스케를 짝사랑하고 있던 후배 여학생의 고민상담까지 받은 저는 어떻게서든 두 사람을 이어주기 위해 과거에서 현재로 몇 번을 오갔는지 몰라요. 게다가 제가 당할 뻔한 사고를 대신 고스케가 당하는 불상사까지…타임리프로 사람의 마음을 내 멋대로 바꾼 벌을 받고 있나 봐요. 전 이제 어떡하면 좋을까요?"
80,쉬즈 더 맨,8,코미디,"말괄량이 바이올라(아만다 바인즈)는 헤어진 남자친구에게 복수하기 위하여 쌍둥이 오빠 세바스찬 행세를 할 결심을 하고 친구들의 도움을 받아 세바스찬으로 변신, 남자 기숙사 잠입에 성공한다.  그러나 어딘지 어색한 바이올라의 행동으로 룸메이트인 듀크와 그 친구들에게 왕따를 당하기 일보 직전의 위기에 처하는데... 다행히 전 학교 친구들의 작전으로 멋지게 분위기 반전에 성공, 친구들에게 멋진 놈이자 연애에 박식한 킹카라고 소문이 나게 된다. 한편 기숙사 생활에 적응해 나름 행복한 시간을 보내고 있는 바이올라, 점점 룸메이트 듀크가 남자로 느껴진다. 다소 쑥맥이긴 하지만 멋진 외모와 몸매, 그리고 감성적이고 순수한 마음까지 너무도 완벽한 남자 듀크! 그러나  듀크가 좋아하는 학교 퀸카 올리비아는 엉뚱하게도 바이올라가 남자인줄 알고 좋아하게 되고 듀크는 올리비아와 데이트하기 위해 바이올라의 도움을 청한다. 과연 듀크와 바이올라, 올리비아와 세바스찬의 관계는 어떻게 정리될 것인가?"
81,해리 포터와 불의 잔,8,액션,"해리 포터 일생일대 최대 난관!요즘 들어 매일 꾸는 악몽 때문에 이마의 상처에 더욱 통증을 느끼는 해리(다니엘 래드클래프)는 친구 론(루퍼트 그린트)과 헤르미온느(엠마 왓슨)와 함께 퀴디치 월드컵에 참가해 악몽에서 벗어날 수 있게 돼 마냥 기쁘다. 그러나 퀴디치 캠프장 근방 하늘에 불길한 기운, 바로 마왕 볼드모트의 상징인 '어둠의 표식'이 나타난다. 볼드모트가 13년 전에 자취를 감춘 뒤 감히 모습을 드러내지 못했던 그의 추종자 데스 이터들이 그 표식을 불러낸 것이다. 두려움으로 가득 찬 해리는 안전한 호그와트 마법학교로 돌아가고 싶어한다. 덤블도어 교장(마이클 갬본 경)이라면 자신을 지켜줄 수 있을 것이기에….최강의 챔피언을 찾아라! 트리위저드 마법경연대회!그러나 올해는 예년과 상황이 좀 다르다. 덤블도어 교장은 유럽의 세 개 명문 마법학교의 결속을 다지기 위해 그간 중단됐던 호그와트에서 '트리위저드 대회'를 개최한다고 발표한다. 트리위저드 대회는 마법의 최고 명문 3개 학교에서 선발된 챔피언 한 명씩 출전해 트리위저드 컵을 놓고 목숨을 건 경합을 벌이는 마법사들 세계에서 가장 흥미진진하고 위험한 마법경연대회. 마법의 '불의 잔'이 각 학교 출전자를 선발하는 의식이 열리고 현란한 불꽃의 축제 속에 불의 잔은 마침내 세 학생의 이름을 호명한다. 강인한 불가리아 덤스트랭 학교의 퀴디치 경기 슈퍼스타인 빅터 크룸(스타니슬라브 이아네브스키)과 우아한 보바통 마법아카데미의 플뢰르 델라쿠르(클레멘스 포에시), 그리고 호그와트의 최고 인기남 케드릭 디고리(로버트 패틴슨). 그러나 세 명의 이름이 다 호명된 후, 뜻밖에도 불의 잔은 또 한 명의 이름을 내뱉는다. 바로 '해리포터'!피할 수 없는 숙명의 대결!그러나 해리는 시합 출전자의 나이 제한인 17세보다 세 살이나 어린 14세. 게다가 불의 잔 속에 자신의 이름을 넣은 적이 없다며 거부하지만 불의 잔의 단호한 뜻에 따라 어쩔 수 없이 출전하게 된다. 이 일로 해리에겐 의혹과 시기의 시선이 집중되고 추문 폭로기사 전문기자 리타 스키터는 해리에 대한 모함성 기사를 써서 이를 더욱 부채질한다. 친구 론마저도 해리가 유명해지고 싶어서 불의 잔을 조작했다고 믿기 시작한다. 해리를 위험에 처한 누군가의 음모라고 생각한 덤블도어 교장은 신임 '어둠의 마법 방어술' 교수 '매드아이 무디'(브랜든 글리슨)에게 해리를 잘 지키라고 지시한다. 해리는 트리위저드 대회의 불 뿜는 용 피하기, 거대한 호수 깊이 잠수하기, 살아있는 미로를 빠져 나오기라는 세가지 과제에 대비한 마법 훈련에 돌입한다. 그러나 그보다 해리에게 더 힘든 숙제는 크리스마스 무도회에 함께 참석할 파트너를 구하는 문제다. 해리에겐 용이나 인어, 그라인딜로우와 싸우는 편이 사랑스러운 여학생 초 챙(케이티 렁)에게 무도회의 파트너가 돼달라고 부탁하는 것보다 훨씬 쉬운 일. 한편 론은 헤르미온느에 대한 자신의 감정이 예전과 다르다는 걸 미처 깨닫지 못하고…불의 잔을 향한 최강의 스펙터클이 펼쳐진다!그러던 중 호그와트 교정에서 누군가 살해되면서 상황은 급변한다. 볼드모트의 악몽으로 두려움에 휩싸인 해리는 덤블도어를 찾아가지만 그 역시도 뚜렷한 해답을 제시하지 못한다. 경기가 진행되고 해리와 다른 출전자들이 마지막 과제를 풀기 위해 안간힘을 쓰고 있을 때 무언가가 계속 이들을 주시한다. 승리가 목전에 다가온 그 순간, 이제까지의 모든 진실이 밝혀지고 해리포터에게는 진정한 악과의 피할 수 없는 대결이 기다리고 있는데…."
82,이터널 선샤인,9,드라마,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다."
83,킹덤 오브 헤븐,8,액션,200년간 지속된 십자군 전쟁이 한창이었던 12세기 예루살렘.운명에 이끌려 십자군 원정이라는 거대한 역사의 소용돌이 중심에 선 ‘발리앙’은위대한 군주로 알려진 이슬람의 지도자 ‘살라딘’에 맞서예루살렘 성안의 백성들을 지켜내야 한다.명장 리들리 스콧 감독의 역작 전세계 최초 개봉
